A8_B2                       ,grade,       A1,    A1,      A1,      A1,     A1,          A1,   A1,      A1,   A1,       A1,      A1,     A1,       A1,        A1,      A1,      A1,       A1,       A1,       A1,        A1,    A1,      A1,      A1,        A1,      A1,         A1,       A1
username                    ,grade,binomiais,escada,diagonal,padroes1,sufixos,empilhamento,  mdc,padroes2,santo,fibonacci,quadrado,bitcoin,triangulo,fibonacci2,padroes3,queimada,treinando,labirinto,distancia,palindromo,buscas,rotacoes,princesa,alternando,apagando,manipulacao,especiais
tarefas-15f6hv8xtempoacc    ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-3301naoki           ,  0.6,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Aa,     _____,   100Aa,      000xx,    _____
tarefas-Aaron-GMM           ,  0.3,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Bb,     _____,   000xx,      _____,    _____
tarefas-Arthur32p           ,  1.2,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Ac,     000xx,   100Ab,      100Ab,    100Ac
tarefas-Beeatriz-Castro-1   ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Blackberry216       ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Brieloki            ,  0.8,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Cd,     _____,   100Bb,      100Bc,    _____
tarefas-Daniel-jacodev      ,  0.6,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   000xx,     _____,   100Aa,      100Aa,    000xx
tarefas-DevJLucasTM         ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-DevJulioEmanuel     ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-EstherAzevedo       ,  0.6,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Bc,     _____,   000xx,      100Bb,    012xx
tarefas-Felipeoliveiraaraujo,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-GerasDeveloper      ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Henriwi-MS          ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-JessLim2003         ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-KauaLemos           ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
