A8_B2                       ,grade,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1
username                    ,grade,    binomiais,       escada,     diagonal,     padroes1,      sufixos, empilhamento,          mdc,     padroes2,        santo,    fibonacci,     quadrado,      bitcoin,    triangulo,   fibonacci2,     padroes3,     queimada,    treinando,    labirinto,    distancia,   palindromo,       buscas,     rotacoes,     princesa,   alternando,     apagando,  manipulacao,    especiais
tarefas-15f6hv8xtempoacc    ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-3301naoki           ,  0.6,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,100Aa048m001e,_____________,100Aa031m003e,000xx006m000e,_____________
tarefas-Aaron-GMM           ,  0.3,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,100Bb236m022e,_____________,000xx183m045e,_____________,_____________
tarefas-Arthur32p           ,  1.2,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,100Ac189m082e,000xx001m000e,100Ab033m014e,100Ab062m044e,100Ac146m143e
tarefas-Beeatriz-Castro-1   ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Blackberry216       ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Brieloki            ,  0.8,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,100Cd028m011e,_____________,100Bb012m002e,100Bc029m012e,_____________
tarefas-Daniel-jacodev      ,  0.6,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,000xx057m021e,_____________,100Aa093m031e,100Aa051m037e,000xx000m001e
tarefas-DevJLucasTM         ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-DevJulioEmanuel     ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-EstherAzevedo       ,  0.6,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,100Bc025m006e,_____________,000xx111m027e,100Bb134m017e,012xx065m010e
tarefas-Felipeoliveiraaraujo,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-GerasDeveloper      ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Henriwi-MS          ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
