SIMPLE                           ,Beeatriz-Castro,CarlaCristinaSA,ClidenorFilho,Douglas-glith,EduardoAlmeida10,Emilly-Pinheiro,GuibasURL,HenriqueSenaDev,JGCL24,Joao-Vitor-Rd,KeltonMartins,Layssaoliveira26,Lipez-x,Paulo-Sergio-Oliveira,Randson-Silva,TobiasTac,Victorbvc,abebuh21,alvesmaarcos,anaradlei,annabeatryz31,cauanrricardo,davyanastaciodev,dsfacundo,eduardaffreitas,fco-henrique,gabrielrbsousa,harielfr,higormcarnauba,jppiauilino,kawantorres,kaylannesatiro,lizandrapinheiro,mczm9,pamellaneco,rudriguu2099
=:1:revisão-fup==================,            119,            022,          088,          053,             117,            129,      097,            123,   111,          124,          120,             124,    122,                  133,          129,      129,      094,     069,         112,      064,          075,          112,             000,      130,            063,         125,           021,     087,           113,        112,        053,           072,             129,  095,        110,         092
+:1:pintando                     ,            096,            096,          096,          082,             082,            100,      096,            096,   096,          096,          082,             096,    096,                  100,          096,      096,      096,     100,         082,      096,          082,          082,             000,      096,            096,         096,           082,     082,           100,        082,        082,           096,             096,  100,        082,         100
+:2:mumia                        ,            096,            ---,          096,          096,             096,            100,      096,            096,   096,          096,          096,             096,    096,                  100,          096,      096,      096,     096,         096,      096,          096,          096,             000,      096,            082,         096,           082,     082,           100,        082,        082,           096,             096,  100,        082,         100
+:2:fuga                         ,            096,            000,          096,          096,             082,            096,      096,            096,   096,          096,          096,             096,    082,                  100,          096,      096,      045,     045,         082,      082,          082,          082,             000,      096,            082,         096,           000,     096,           096,        082,        096,           096,             096,  100,        082,         082
+:2:pedra                        ,            082,            082,          082,          082,             096,            096,      096,            096,   096,          096,          082,             082,    096,                  100,          096,      096,      082,     000,         082,      045,          082,          082,             000,      096,            082,         096,           ---,     082,           096,        096,        082,           096,             096,  100,        082,         100
+:2:casais                       ,            082,            000,          082,          000,             096,            096,      096,            096,   096,          096,          096,             082,    096,                  100,          096,      096,      082,     096,         082,      045,          082,          082,             000,      096,            082,         096,           ---,     096,           075,        082,        012,           096,             096,  096,        082,         096
+:3:baruel                       ,            096,            000,          082,          ---,             082,            096,      096,            075,   096,          096,          096,             096,    096,                  100,          096,      096,      082,     082,         082,      045,          045,          082,             000,      096,            000,         082,           ---,     082,           075,        082,        000,           000,             096,  082,        082,         082
*:4:gomos                        ,            082,            ---,          000,          ---,             082,            096,      000,            096,   045,          082,          082,             096,    082,                  100,          096,      096,      045,     ---,         082,      ---,          000,          082,             ---,      100,            000,         096,           ---,     000,           075,        082,        000,           ---,             096,  000,        082,         000
=:1:análise-otimizando-resoluções,            072,            000,          085,          082,             093,            091,      075,            096,   113,          097,          105,             094,    096,                  121,          016,      083,      058,     014,         073,      011,          060,          097,             000,      085,            000,         096,           000,     088,           109,        092,        081,           000,             102,  075,        066,         101
+:2:analise                      ,            100,            ---,          ---,          100,             ---,            100,      096,            096,   096,          ---,          100,             100,    100,                  000,          ---,      100,      096,     ---,         096,      ---,          ---,          100,             ---,      096,            ---,         ---,           ---,     100,           096,        ---,        000,           ---,             ---,  100,        082,         100
+:6:princesa                     ,            096,            000,          082,          082,             082,            082,      096,            096,   096,          096,          100,             096,    082,                  100,          096,      100,      082,     082,         082,      000,          045,          082,             000,      045,            ---,         082,           000,     096,           096,        096,        045,           000,             096,  045,        082,         082
+:4:apagando                     ,            096,            ---,          082,          009,             045,            100,      100,            096,   096,          096,          096,             096,    096,                  096,          000,      096,      082,     000,         096,      100,          045,          082,             ---,      045,            ---,         096,           ---,     100,           096,        082,        082,           002,             096,  082,        082,         082
+:9:manipulacao                  ,            082,            ---,          082,          082,             082,            082,      096,            096,   096,          100,          100,             082,    100,                  100,          000,      082,      045,     ---,         082,      000,          053,          082,             ---,      045,            ---,         082,           ---,     082,           096,        096,        082,           000,             096,  082,        045,         100
+:15:especiais                   ,            000,            ---,          082,          100,             082,            096,      000,            096,   096,          082,          082,             099,    100,                  100,          ---,      045,      045,     ---,         053,      000,          082,          082,             ---,      096,            ---,         096,           000,     082,           100,        082,        082,           000,             096,  045,        045,         082
*:3:buscas                       ,            096,            ---,          082,          ---,             096,            000,      096,            ---,   096,          000,          ---,             ---,    ---,                  100,          ---,      000,      ---,     ---,         000,      ---,          ---,          082,             ---,      096,            ---,         ---,           ---,     ---,           100,        ---,        ---,           ---,             ---,  082,        ---,         096
*:3:rotacoes                     ,            000,            ---,          000,          ---,             000,            ---,      ---,            ---,   096,          ---,          100,             ---,    ---,                  100,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          082,             ---,      096,            ---,         ---,           ---,     ---,           000,        096,        ---,           ---,             ---,  082,        ---,         000
*:4:alternando                   ,            096,            ---,          000,          ---,             100,            ---,      096,            ---,   000,          100,          045,             ---,    000,                  096,          ---,      096,      ---,     ---,         000,      ---,          000,          000,             ---,      000,            ---,         100,           ---,     000,           025,        000,        082,           ---,             096,  ---,        082,         045
=:1:recursão=====================,            076,            000,          051,          062,             079,            026,      078,            080,   066,          069,          083,             047,    093,                  098,          062,      078,      063,     024,         100,      029,          025,          070,             000,      072,            000,         034,           000,     029,           082,        032,        018,           023,             059,  051,        084,         077
*:2:crec_view                    ,            100,            ---,          ---,          100,             100,            100,      100,            ---,   ---,          ---,          100,             100,    100,                  100,          ---,      100,      096,     ---,         096,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           ---,        000,        ---,           ---,             100,  082,        ---,         100
*:1:rec_read                     ,            100,            ---,          ---,          ---,             100,            100,      100,            ---,   ---,          ---,          100,             100,    100,                  100,          ---,      100,      096,     ---,         096,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           100,        ---,        ---,           ---,             100,  096,        ---,         100
